id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
da3bf75d64df9f85,Vandalism to Tom DeLonge page. IP needs to be banned,0,0,0,0,0,0
70ca9855cfdaddda,"""

 """"There is another world, but it is in this one."""" 

This line  is quoted all over the internet, and equally attributed to W. B. Yeats and Paul Eluard.  Can someone please identify the specific source, if they know it?  I really do not want to mis-attribute this interesting quote.

Jayintheusa""",0,0,0,0,0,0
6e5fd381b9c8318d,Same with personhood.,0,0,0,0,0,0
e6aa04fab8605206,", 4 October 2009 (UTC)

Hmmm. It seems a large number of photos have been deleted
Refer http://en.wikipedia.org/w/index.php?title=The_Citadel,_The_Military_College_of_South_Carolina&oldid;=298694103

Cheers,   09:44",0,0,0,0,0,0
96fe231092ef538c,"Ironically, your recent edits deleted the official policy vandalism section from Wikipedia:Vandalism.",0,0,0,0,0,0
7939685c1a4de005,"stand by what I wrote about Tariq Ali and reliable sources, and I stand by that with the greatest authority anyone can have here, that of Wikipedia editor (the same authority you have, even if we disagree).  I",0,0,0,0,0,0
6849d31b460a4b7c,Hi deisenbe. My father is Ashkenazi and my mother is African American (and Jewish). —  Talk/Stalk,0,0,0,0,0,0
68247ff43f67f671,"""

 Errata for the Batman page? 

Hi,

I think you were the last person to edit the Batman page.

I was just wondering, it states """"Batman's secret identity is Bruce Wayne"""" (2nd paragragph, 1st line)
Shouldn't it be Batman's True Identity is Bruce Wayne?

I might be wrong since it is supposed to be the original version, but it just sound funny to me.

Thanks!
Yitch""",0,0,0,0,0,0
4ded703b8688bdeb,"So, in conclusion, the whole issue with me being involved with Brews is not motivated by some unconditional support for him. Rather, there are real issues regarding editing Wikipedia here that are perhaps a bit hidden from view. And in such disputes, I always tell Brews to take into account opposition against his edits and try to make modifications to get the necessary consensus.",0,0,0,0,0,0
70f854128b6f40a4,"deletion of article Atmaprajnananda Saraswati 

as your team said i gave all the necessary citations of subject's notability.
But still without any verification you delete it.
can you please go through it twice.
It's a request.
Stallion444",0,0,0,0,0,0
853d769e356627bc,"""

Orphaned fair use image (Image:Feraligatrscreen.PNG)
Thanks for uploading Image:Feraligatrscreen.PNG. The image description page currently specifies that the image is non-free and may only be used on Wikipedia under a claim of fair use. However, the image is currently orphaned, meaning that it is not used in any articles on Wikipedia. If the image was previously in an article, please go to the article and see why it was removed. You may add it back if you think that that will be useful. However, please note that images for which a replacement could be created are not acceptable under fair use (see our fair use policy).

If you have uploaded other unlicensed media, please check whether they're used in any articles or not. You can find a list of 'image' pages you have edited by clicking on the """"my contributions"""" link (it is located at the very top of any Wikipedia page when you are logged in), and then selecting """"Image"""" from the dropdown box. Note that any fair use images not used in any articles will be deleted after seven days, as described on criteria for speedy deletion. Thank you.  """,0,0,0,0,0,0
052d61f9a33e209a,"""

 Not done: It currently reads """"at least 5.5 million"""", and in the section on The Holocaust, it reads """"5.5 to six million"""", with references. I'm not sure what the issue is.  (talk - contribs) """,0,0,0,0,0,0
fe7d60453f71f5df,"Name 

Is there a Tolkien connection here? The name reminds me of Bag End and Baggins, and the domes are reminiscent of above-ground hobbit holes.",0,0,0,0,0,0
2e6db3c85354fa48,Let also state if you had not done such an excellent job on Phaedo I would not have returned. Although I have some problems with it. Old Socrates was done with a great deal of respect (which warms my heart). As Plotinus have you no love for the Hellenious?,0,0,0,0,0,0
b3b8d8b58a481aac,"""

I agree with that as well - however, in a new article of its own. Perhaps Xianqi openings? After that's been written, add a  notice to this article. Thanks!  (A note?) """,0,0,0,0,0,0
b0accd84a2fe4c52,"""

Please stop. If you continue to vandalize pages, you will be blocked from editing Wikipedia.    e|t||c|m """,0,0,0,0,0,0
fc9e6626c385cf36,"Please, learn basic history of the Ustashe movement before entering any discussion.72.75.20.29",0,0,0,0,0,0
35b806029fd6c3e1,"OMG, how did you do that so fast?  Message in a bottle",0,0,0,0,0,0
0b2ace56e7d4ad48,"P.S. obviously that doesn't mean a straight port, but a new Viva Pinata will come out on the DS.",0,0,0,0,0,0
5680640ce2e7ae67,"Photograph
Can we have a photo of such a family?",0,0,0,0,0,0
6e693b72ba6a54ed,ok thanks nice to hear from you ok well I'll not contact you any more if it makes you feel uncomfortable we'll just keep this entre nous.  Oh by the way I moved to the US at least for 6 monhs,0,0,0,0,0,0
3709046c25993c70,WHY CAN I NOT POST? PLEASRE UNBLOCK ME I DO NOTHIN WRONG FRENS I DO NOT COMPREHNDE WHAT IS GONE HAPPEN,0,0,0,0,0,0
5081e66c20bf41ab,"Vandalism
You have vandalised the jajce article by deleting sourced information relating to the demographics of jajce.",0,0,0,0,0,0
7173e287ee8ab89f,"""

 Oi 

  Why did you move the page """"Give You The World"""" to """"Give You the World""""? It looks dumb now because only one word is not capitalised.""",0,0,0,0,0,0
ed9c6c9ff10b342a,"WP:AIV 

Hey, Pgk, great job with reporting vandals to WP:AIV. I just wanted to let you know that if you find an account that you reported to WP:AIV is blocked, could you wait a few minutes, and then remove it if the blocking admin doesn't do it first? I ran into some strange problems with the article history when I tried to remove the four IP reports for IPs that I blocked because other folks removed those reports first. I wanted to save some time having to remove reports one by one, and instead remove them all at once. -) Thanks, ephoenix",0,0,0,0,0,0
aa83f306c36eaa3d,""", 26 March 2008 (UTC)
I agree that """"Chinese alcohol reminds of the chemical produced in China"""".   23:52""",0,0,0,0,0,0
10b05533e1926b92,"H.M.S. Pinafore 

Started dealing with this. See what you think.",0,0,0,0,0,0
343265bf6702102d,"That's unquestionably unfair. I've seen loads of screenshots on other peoples' Wikipedia profiles. Oh wait, they're white, she's black....(",0,0,0,0,0,0
b6388e8ab2c588d2,"""

 Proper names 

I saw that someone had gone through the article and changed everybody's first names to the Polish equivalent.  I went and re-checked my books to see how the first names are listed in the English-language biographies, and have put the names back to English versions.  This means """"George"""" not """"Jerzy"""", """"Joseph"""" not """"Jozef"""", """"Charles"""" not """"Karol"""", etc.  

If someone can point me to an English-language book that uses the Polish spellings, please let me know.  To my knowledge I own every single one of them, but if there's one I missed, I'm very interested in knowing about it.  In the meantime, we stick with the form of the names that is used in the published biographies. Polish spelling = Polish Wikipedia.  English spelling = English Wikipedia.  Capiche?  """,0,0,0,0,0,0
c23715dbfdc6d4b1,what Huon proposed is also acceptable to me that it should not be under new section. A para in Lead will serve the purpose.,0,0,0,0,0,0
aa1b68ed099e132c,Hello Thank You for reply . Please check the article Govind Kumar Singh  all important information content is removed from article by single user. If you check previous history of this article same user has changed this article so many time . This person have some person issue with this article . please guide me how to deal with it ?,0,0,0,0,0,0
a86685e58d4c4871,"Numbers
Stop adding arbitrary numbers to politicians.",0,0,0,0,0,0
